posY,accX,accY,velX,velY
0,0,0,0,0
2.136164,-4.517814,2.136164,-4.517814,2.136164
4.771803,-1.34584,1.501098,-4.24893,2.635639
7.051884,-0.668987,-0.115727,-4.449857,2.280081
9.2177,-0.163475,-0.06296,-4.506578,2.165816
11.338516,-0.020884,-0.045,-4.527462,2.120816
13.460214,0.002784,0.000882,-4.524678,2.121698
15.579203,0.006377,-0.002709,-4.518301,2.118989
17.699845,-0.011659,0.002566,-4.528011,2.120642
19.818359,-0.002091,-0.001615,-4.529006,2.118514
21.93591,0.001858,-0.000963,-4.527148,2.117551
24.054356,-0.000818,0.000896,-4.527966,2.118446
26.172143,-0.002316,-0.000223,-4.529347,2.117787
28.296934,0.009436,0.007004,-4.51991,2.124791
30.425823,-0.01413,0.008758,-4.524138,2.12889
32.552419,-0.009422,0.001627,-4.525217,2.126596
34.677576,0.007102,-0.001438,-4.518115,2.125157
36.796274,-0.002094,-0.00646,-4.520209,2.118697
38.92525,-0.005198,0.010895,-4.524098,2.128976
41.057958,0.006524,0.003732,-4.517574,2.132708
43.181814,-0.014202,-0.006377,-4.526503,2.123857
45.308224,0.005994,0.002553,-4.520509,2.12641
47.425855,-0.011817,-0.00742,-4.52942,2.11763
49.554431,0.002978,0.01196,-4.524286,2.128577
51.671952,-0.001692,-0.011056,-4.525978,2.11752
53.79245,-0.001763,0.002978,-4.52774,2.120499
55.918805,-0.005067,0.009369,-4.52533,2.126355
58.040216,0.001511,-0.004943,-4.52382,2.121411
60.164826,-0.009596,0.006609,-4.52615,2.12461
62.290414,0.006062,0.000979,-4.520088,2.125588
64.405075,0.003707,-0.010928,-4.51638,2.11466
66.523783,-0.014406,0.004924,-4.528915,2.118709
68.641789,0.011477,-0.000703,-4.517439,2.118006
70.761948,-0.00211,0.002153,-4.519548,2.120159
72.884102,-0.008873,0.002521,-4.527302,2.122154
74.999604,-0.000443,-0.006652,-4.527745,2.115502
77.123891,0.002562,0.008785,-4.525184,2.124287
79.252059,-0.002214,0.005255,-4.524478,2.128168
81.383583,-0.004103,0.006034,-4.522898,2.131523
83.511457,-0.003096,-0.003001,-4.524616,2.127874
85.628116,-0.001159,-0.011216,-4.525775,2.116658
87.756876,0.004111,0.012102,-4.521664,2.12876
89.888276,-0.0044,0.004105,-4.522956,2.1314
92.011377,-0.007916,-0.006417,-4.526858,2.123101
94.140559,-0.002714,0.008703,-4.524001,2.129182
96.266126,-0.004595,-0.002255,-4.5257,2.125567
98.391668,-0.000113,0.000022,-4.525712,2.125542
100.514036,0.001811,-0.003173,-4.523901,2.122368
102.645457,0.005554,0.009052,-4.518347,2.13142
104.778008,-0.002421,0.00113,-4.520768,2.132551
106.905648,-0.006111,-0.003899,-4.524726,2.12764
109.028722,-0.011971,0.000043,-4.526871,2.123074
111.141657,0.007461,-0.010139,-4.519409,2.112935
113.26247,-0.002245,0.007878,-4.521654,2.120813
115.380964,0.000622,-0.002319,-4.521033,2.118494
117.509161,-0.001091,0.009702,-4.522123,2.128196
119.633135,-0.011187,-0.001002,-4.526448,2.123974
121.755519,-0.004322,0.000087,-4.527194,2.122384
123.8748,0.001967,-0.003103,-4.525227,2.119282
126.007277,0.009741,0.013195,-4.515486,2.132476
128.143059,-0.002447,0.003307,-4.517932,2.135783
128.168089,4.446152,-2.110753,-0.07178,0.02503
128.168089,4.446152,-2.110753,-0.07178,0.02503
128.168089,0,0,0,0
128.168089,0,0,0,0
128.168089,0,0,0,0
128.168089,0,0,0,0
128.168089,0,0,0,0
128.168089,0,0,0,0
128.168089,0,0,0,0
128.168089,0,0,0,0
128.168089,0,0,0,0
128.168089,0,0,0,0
128.168089,0,0,0,0
128.168089,0,0,0,0
128.168089,0,0,0,0
